match_id,team
1142914,Pakistan
1142914,Australia
1142915,Australia
1142915,Zimbabwe
1142916,Zimbabwe
1142916,Pakistan
1142917,Pakistan
1142917,Australia
1142918,Zimbabwe
1142918,Australia
1142919,Australia
1142919,Pakistan
1144149,South Africa
1144149,Zimbabwe
1144150,Zimbabwe
1144150,South Africa
1144161,South Africa
1144161,Pakistan
1144162,South Africa
1144162,Pakistan
1144163,South Africa
1144163,Pakistan
1144172,South Africa
1144172,Sri Lanka
1144173,South Africa
1144173,Sri Lanka
1144174,South Africa
1144174,Sri Lanka
1144441,South Africa
1144441,Bangladesh
1144442,South Africa
1144442,Bangladesh
1144978,New Zealand
1144978,Australia
1144979,New Zealand
1144979,Australia
1144980,New Zealand
1144980,Australia
1144989,South Africa
1144989,Australia
1144990,Australia
1144990,India
1144991,Australia
1144991,India
1144992,Australia
1144992,India
1145890,Ireland
1145890,New Zealand
1145894,Ireland
1145894,Bangladesh
1145895,Ireland
1145895,Bangladesh
1145896,Bangladesh
1145896,Ireland
1146723,Bangladesh
1146723,West Indies
1146724,Bangladesh
1146724,West Indies
1146725,Bangladesh
1146725,West Indies
1147717,Thailand
1147717,Ireland
1147718,Uganda
1147718,Scotland
1147719,Netherlands
1147719,United Arab Emirates
1147720,Papua New Guinea
1147720,Bangladesh
1147722,Scotland
1147722,Ireland
1147723,Netherlands
1147723,Bangladesh
1147724,United Arab Emirates
1147724,Papua New Guinea
1147725,Scotland
1147725,Thailand
1147726,Uganda
1147726,Ireland
1147727,United Arab Emirates
1147727,Bangladesh
1147728,Papua New Guinea
1147728,Netherlands
1147729,Ireland
1147729,Papua New Guinea
1147730,Netherlands
1147730,Uganda
1147731,Bangladesh
1147731,Scotland
1147732,United Arab Emirates
1147732,Thailand
1147733,Netherlands
1147733,United Arab Emirates
1147734,Papua New Guinea
1147734,Scotland
1147735,Thailand
1147735,Uganda
1147736,Bangladesh
1147736,Ireland
1148048,India
1148048,Malaysia
1148050,Thailand
1148050,Pakistan
1148051,Pakistan
1148051,Bangladesh
1148052,India
1148052,Thailand
1148053,Sri Lanka
1148053,Malaysia
1148054,Pakistan
1148054,Sri Lanka
1148055,Malaysia
1148055,Thailand
1148056,India
1148056,Bangladesh
1148057,Thailand
1148057,Bangladesh
1148058,Pakistan
1148058,Malaysia
1148059,Sri Lanka
1148059,India
1148060,Pakistan
1148060,India
1148061,Sri Lanka
1148061,Thailand
1148062,Bangladesh
1148062,Malaysia
1148063,India
1148063,Bangladesh
1150533,India
1150533,New Zealand
1150534,Australia
1150534,Pakistan
1150535,West Indies
1150535,Bangladesh
1150537,Pakistan
1150537,India
1150538,Ireland
1150538,Australia
1150539,Bangladesh
1150539,England
1150540,Sri Lanka
1150540,South Africa
1150541,Pakistan
1150541,Ireland
1150542,Australia
1150542,New Zealand
1150543,Sri Lanka
1150543,Bangladesh
1150544,West Indies
1150544,South Africa
1150545,India
1150545,Ireland
1150546,New Zealand
1150546,Pakistan
1150547,South Africa
1150547,England
1150548,West Indies
1150548,Sri Lanka
1150549,India
1150549,Australia
1150550,Ireland
1150550,New Zealand
1150551,England
1150551,West Indies
1150552,South Africa
1150552,Bangladesh
