match_id,player
1239541,MM Ali
1239542,JJ Roy
1243019,Mohammad Rizwan
1243020,D Pretorius
1243021,Mohammad Nawaz (3)
1243388,JC Archer
1243389,Ishan Kishan
1243390,JC Buttler
1243391,SA Yadav
1243392,B Kumar
1244848,Javeria Khan
1249206,JC Buttler
1249207,LS Livingstone
1249208,DJ Malan
1249235,S Glenn
1249236,FR Davies
1249237,KH Brunt
1249238,A Gardner
1249239,FL Mackay
1251575,Mohammad Rizwan
1251576,GF Linde
1251577,Babar Azam
1251578,Faheem Ashraf
1251953,T Shamsi
1251954,DA Miller
1251955,T Bavuma
1252066,KA Pollard
1252067,PWH de Silva
1252068,FA Allen
1253272,A Bosch
1253273,L Wolvaardt
1253274,RS Gayakwad
1256720,JO Holder
1256721,MM Ali
1256722,R Powell
1256723,MM Ali
1256724,JO Holder
1257183,Mohammad Rizwan
1257184,LM Jongwe
1257185,Hasan Ali
1257404,MG Erasmus
1257405,JJ Smit
1257406,CG Williams
1257945,K Bhurtel
1257946,MP O'Dowd
1257947,Karan KC
1257948,BFW de Leede
1257949,TS Braat
1257950,Sompal Kami
1257951,Karan KC
1260097,NR Sciver
1260098,DB Sharma
1260099,DN Wyatt
1260100,TT Beaumont
1260101,SFM Devine
1260102,HC Knight
1262758,B Kumar
1262759,DM de Silva
1262760,PWH de Silva
1262917,GH Lewis
1262918,K McGill
1262919,O Prendergast
1262920,GH Lewis
1263151,E Lewis
1263152,GF Linde
1263153,T Shamsi
1263154,KA Pollard
1263155,AK Markram
1263156,OC McCoy
1263157,SO Hetmyer
1263158,CH Gayle
1263159,MR Marsh
1263160,E Lewis
1263165,Mohammad Hafeez
1263471,A Zampa
1263472,JR Hazlewood
1263473,KW Richardson
1263474,GJ Maxwell
1263475,BKG Mendis
1263572,TM McGrath
1263622,TM McGrath
1263623,TM McGrath
1265214,V Hamunyela
1265215,S Wetoto
1265216,W Mwatile
1265218,SA Wittmann
1265220,H Ishimwe
1265221,Q Abel
1265222,B Etim
1265223,Yasmeen Khan
1265224,S Wetoto
1265225,MD Bimenyimana
1265226,S Wetoto
1267304,R Satheesan
1267306,Aslam Mohammad
1267307,Taranjeet Singh
1267308,S Thakur
1267310,Taranjeet Singh
1267322,SS Connell
1267323,Kycia A Knight
1267324,SR Taylor
1267680,Soumya Sarkar
1267681,W Madhevere
1267682,Soumya Sarkar
1268188,N Khanna
1268189,B Niaz
1268190,Sheraz Sheikh
1268191,Bilal Muhammad
